title,artist,Polarity,Subjectivity,Topic
Flowers,Miley Cyrus,0.48599439775910364,0.5556022408963588,good
Kill Bill,SZA,0.20947966507177032,0.3643839712918659,though
As It Was,Harry Styles,0.05384615384615384,0.21602564102564104,way
Seven,Jung Kook,0.6999999999999996,0.5999999999999999,got
Ella Baila Sola,Eslabon Armado,0.21684523809523812,0.5583333333333333,alone
Cruel Summer,Taylor Swift,-0.10499313694435647,0.5592640692640694,coming
Creepin,Metro Boomin,0.16583333333333333,0.3525,thing
Calm Down,Rema,0.05197554697554698,0.48312741312741336,come
"Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap,0.11208333333333333,0.4997222222222221,well
Anti-Hero,Taylor Swift,0.0393939393939394,0.41212121212121217,come
I Wanna Be Yours,Arctic Monkeys,-0.08666666666666666,0.345,na
TQG,KAROL G,0.1296187683284458,0.4772238514173998,already
La Bebe,Yng Lvcas,0.09290382819794585,0.35576563958916907,tonight
I'm Good (Blue),David Guetta,0.4637860082304525,0.4646090534979423,come
Die For You,The Weeknd,0.12299498746867166,0.6097117794486216,communicate
un x100to,Grupo Frontera,0.042391304347826106,0.510144927536232,turn
Unholy,Sam Smith,0.05328282828282827,0.5133838383838385,watch
La Bachata,Manuel Turizo,0.20535714285714285,0.37857142857142856,come
Boy's a liar Pt. 2,PinkPantheress,0.33699845679012336,0.6021219135802471,even
Daylight,David Kushner,-0.07685185185185185,0.4731481481481481,try
Another Love,Tom Odell,0.3616666666666667,0.5955555555555556,one
Starboy,The Weeknd,0.18812354312354312,0.4805827505827504,king
Yandel 150,Yandel,0.15576617826617828,0.36871916971916985,gafitas
Cupid - Twin Ver.,FIFTY FIFTY,0.05650000000000002,0.4710000000000001,way
I Ain't Worried,OneRepublic,0.18999999999999997,0.4950000000000001,hey
Here With Me,d4vd,0.23887987012987014,0.4084821428571429,go
Last Night,Morgan Wallen,0.05467436974789916,0.22428221288515401,really
golden hour,JVKE,0.11691919191919188,0.5012626262626262,alone
Until I Found You,Stephen Sanchez,0.5,0.6,never
LALA,Myke Towers,0.07933925049309663,0.3803254437869823,turn
"Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap,0.08720414201183432,0.48372781065088755,come
Hey Mor,Ozuna,-0.06944444444444445,0.3357142857142857,put
CLASSY 101,Feid,0.002376543209876558,0.6875308641975307,imagine
Paint The Town Red,Doja Cat,0.12236570247933885,0.49235537190082646,instead
Sweater Weather,The Neighbourhood,-0.10036616161616162,0.6569949494949495,touch
Snooze,SZA,0.14413265306122441,0.5682397959183675,like
Blank Space,Taylor Swift,-0.02612392582541835,0.6217593848937132,table
Blinding Lights,The Weeknd,0.03749999999999999,0.5972222222222223,gone
WHERE SHE GOES,Bad Bunny,0.1482142857142857,0.6571428571428573,see
Like Crazy,Jimin,0.36700000000000005,0.6046666666666665,go
Mockingbird,Eminem,-0.008497536945812796,0.49035303776683087,gone
Escapism.,RAYE,-0.07950829725829726,0.373409039373325,leave
vampire,Olivia Rodrigo,-0.07259070294784577,0.6426445578231292,come
PRC,Peso Pluma,0.023508771929824545,0.37263157894736837,carnal
See You Again,"Tyler, The Creator",0.18659902597402594,0.5296329365079365,precision
Me Porto Bonito,Bad Bunny,0.25476923076923075,0.5889743589743589,want
OMG,NewJeans,0.09786384250669965,0.5662981859410429,hoping
AMG,Natanael Cano,0.3531904761904762,0.4089166666666667,eah
Romantic Homicide,d4vd,-0.2051339285714286,0.41361607142857143,even
